"c3","asa_yamaha","name","freq"
"C-2","C-1","0","8.18"
"C♯-2","C♯-1","1","8.66"
"D-2","D-1","2","9.18"
"E♭-2","E♭-1","3","9.72"
"E-2","E-1","4","10.30"
"F-2","F-1","5","10.91"
"F♯-2","F♯-1","6","11.56"
"G-2","G-1","7","12.25"
"G♯-2","G♯-1","8","12.98"
"A-2","A-1","9","13.75"
"B♭-2","B♭-1","10","14.57"
"B-2","B-1","11","15.43"
"C-1","C0","12","16.35"
"C♯-1","C♯0","13","17.32"
"D-1","D0","14","18.35"
"E♭-1","E♭0","15","19.45"
"E-1","E0","16","20.60"
"F-1","F0","17","21.83"
"F♯-1","F♯0","18","23.12"
"G-1","G0","19","24.50"
"G♯-1","G♯0","20","25.96"
"A-1","A0","21","27.50"
"B♭-1","B♭0","22","29.14"
"B-1","B0","23","30.87"
"C0","C1","24","32.70"
"C♯0","C♯1","25","34.65"
"D0","D1","26","36.71"
"E♭0","E♭1","27","38.89"
"E0","E1","28","41.20"
"F0","F1","29","43.65"
"F♯0","F♯1","30","46.25"
"G0","G1","31","49.00"
"G♯0","G♯1","32","51.91"
"A0","A1","33","55.00"
"B♭0","B♭1","34","58.27"
"B0","B1","35","61.74"
"C1","C2","36","65.41"
"C♯1","C♯2","37","69.30"
"D1","D2","38","73.42"
"E♭1","E♭2","39","77.78"
"E1","E2","40","82.41"
"F1","F2","41","87.31"
"F♯1","F♯2","42","92.50"
"G1","G2","43","98.00"
"G♯1","G♯2","44","103.83"
"A1","A2","45","110.00"
"B♭1","B♭2","46","116.54"
"B1","B2","47","123.47"
"C2","C3","48","130.81"
"C♯2","C♯3","49","138.59"
"D2","D3","50","146.83"
"E♭2","E♭3","51","155.56"
"E2","E3","52","164.81"
"F2","F3","53","174.61"
"F♯2","F♯3","54","185.00"
"G2","G3","55","196.00"
"G♯2","G♯3","56","207.65"
"A2","A3","57","220.00"
"B♭2","B♭3","58","233.08"
"B2","B3","59","246.94"
"C3","C4","60","261.63"
"C♯3","C♯4","61","277.18"
"D3","D4","62","293.66"
"D♯3","D♯4","63","311.13"
"E3","E4","64","329.63"
"F3","F4","65","349.23"
"F♯3","F♯4","66","369.99"
"G3","G4","67","392.00"
"G♯3","G♯4","68","415.30"
"A3","A4","69","440.00"
"B♭3","B♭4","70","466.16"
"B3","B4","71","493.88"
"C4","C5","72","523.25"
"C♯4","C♯5","73","554.37"
"D4","D5","74","587.33"
"D♯4","D♯5","75","622.25"
"E4","E5","76","659.26"
"F4","F5","77","698.46"
"F♯4","F♯5","78","739.99"
"G4","G5","79","783.99"
"G♯4","G♯5","80","830.61"
"A4","A5","81","880.00"
"B♭4","B♭5","82","932.33"
"B4","B5","83","987.77"
"C5","C6","84","1046.50"
"C♯5","C♯6","85","1108.73"
"D5","D6","86","1174.66"
"D♯5","D♯6","87","1244.51"
"E5","E6","88","1318.51"
"F5","F6","89","1396.91"
"F♯5","F♯6","90","1479.98"
"G5","G6","91","1567.98"
"G♯5","G♯6","92","1661.22"
"A5","A6","93","1760.00"
"B♭5","B♭6","94","1864.65"
"B5","B6","95","1975.53"
"C6","C7","96","2093.00"
"C♯6","C♯7","97","2217.46"
"D6","D7","98","2349.32"
"D♯6","D♯7","99","2489.02"
"E6","E7","100","2637.02"
"F6","F7","101","2793.83"
"F♯6","F♯7","102","2959.96"
"G6","G7","103","3135.96"
"G♯6","G♯7","104","3322.44"
"A6","A7","105","3520.00"
"B♭6","B♭7","106","3729.31"
"B6","B7","107","3951.07"
"C7","C8","108","4186.01"
"C♯7","C♯8","109","4434.92"
"D7","D8","110","4698.64"
"D♯7","D♯8","111","4978.03"
"E7","E8","112","5274.04"
"F7","F8","113","5587.65"
"F♯7","F♯8","114","5919.91"
"G7","G8","115","6271.93"
"G♯7","G♯8","116","6644.88"
"A7","A8","117","7040.00"
"B♭7","B♭8","118","7458.62"
"B7","B8","119","7902.13"
"C8","C9","120","8372.02"
"C♯8","C♯9","121","8869.84"
"D8","D9","122","9397.27"
"D♯8","D♯9","123","9956.07"
"E8","E9","124","10548.08"
"F8","F9","125","11175.30"
"F♯8","F♯9","126","11839.82"
"G8","G9","127","12543.85"
